ASN,Org,IPs,Providers,Names
19148,LEASEWEB-USA-PHX,4,3,"Astrill, Ivacy, Purevpn"
19318,IS-AS-1,4,2,"Tor, VPN.ac"
30083,AS-30083-US-VELIA-NET,4,3,"KeepSolid VPN Unlimited, Surfshark, VPN.ac"
34989,SERVETHEWORLD-AS,4,4,"Getflix, IVPN, Smartdnsproxy, VPN.ac"
43317,VEESP-AS,4,2,"Windscribe, WorldVPN"
44709,CLOUDWEBMANAGE-,4,4,"FlowVPN, Ra4w, Safervpn, VPNSecure"
45671,AS45671-NET-AU Wholesale Services Provider,4,3,"Getflix, Private Internet Access, Smartdnsproxy"
47987,DELTAHOST-KYIV,4,4,"FlowVPN, GhostPath, Slickvpn, VPNSecure"
48031,XSERVERCLOUD,4,4,"AnonymousVPN, FastestVPN, IVPN, KeepSolid VPN Unlimited"
53055,DIMENOC SERVICOS DE INFORMATICA LTDA,4,3,"GhostPath, Slickvpn, Vpnarea"
53363,TANGRAM-CANADA-INC,4,2,"AnonymousVPN, WorldVPN"
62005,BV-EU-AS,4,2,"CactusVPN, FireHOL"
153003,LACHANSO-VN Digital Shield Technology Company Limited,4,2,"Tor, Windscribe"
205544,LEASEWEB-UK-LON-11,4,3,"Bulletvpn, NetShade, VPN.ac"
216071,VDSINA,4,2,"FireHOL, KeyDrop"
395954,LEASEWEB-USA-LAX,4,3,"KeepSolid VPN Unlimited, Le VPN, OysterVPN"
